,CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
0,08729464-bde6-43bc-8f63-a357096feab1,56.0,Male,13,DSL,Yes,No,One year,Mailed check,71.88,931.49,No,No,Yes,No,No
1,af95bc95-baf4-4318-a21d-70d2ea3148b7,69.0,Male,13,DSL,No,Yes,Two year,Mailed check,110.99,1448.46,Yes,Yes,No,No,No
2,1fe7eee6-2227-4400-9998-4d993f4a60fd,46.0,Male,60,Fiber optic,No,Yes,Month-to-month,Mailed check,116.74,6997.73,Yes,Yes,No,No,No
3,f736fe7b-1b44-4acd-84c2-21c4aef648be,32.0,Female,57,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,78.16,4452.13,No,Yes,No,Yes,No
4,4b40d12d-7633-4309-96b8-aee675ea20ae,60.0,Male,52,Fiber optic,Yes,Yes,Two year,Electronic check,30.33,1569.73,Yes,No,Yes,Yes,No
5,0fece405-89c9-44a4-9ffb-29e55a4bbf55,25.0,Female,53,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,77.33,4107.57,Yes,No,Yes,No,No
6,8f55fd3f-ddad-4da9-9531-e0934968f712,38.0,Male,43,Fiber optic,Yes,No,Two year,Mailed check,79.76,3437.48,Yes,No,No,No,No
7,b4db2101-be85-4048-8201-659b9f3345a9,56.0,Male,42,DSL,No,Yes,Month-to-month,Bank transfer,98.92,4154.29,No,Yes,No,No,No
8,28177481-3920-402e-bb98-7ab632e9111f,36.0,Female,26,DSL,Yes,Yes,Month-to-month,Electronic check,24.82,662.63,No,No,Yes,Yes,No
9,a257f4af-3ca6-47c3-ae28-3e315a7b8b0f,40.0,Male,23,None,Yes,Yes,Two year,Mailed check,66.63,1536.62,No,Yes,No,No,No
10,af6d4c2c-f822-4452-9698-4c4d0f97296d,28.0,Female,43,Fiber optic,Yes,Yes,Month-to-month,Electronic check,112.28,4831.6,Yes,No,Yes,Yes,No
11,e6ac1636-1be7-4c55-9fdc-1f7600aec1be,28.0,Female,28,None,Yes,No,Two year,Credit card,119.13,3338.13,No,No,Yes,No,No
12,6c816236-6cf6-4bec-b897-68f8c1a4b599,41.0,Male,9,DSL,No,Yes,Two year,Mailed check,39.14,339.64,No,No,Yes,No,No
13,691ba5bc-0d3d-479d-89e3-13e7764480a5,53.0,Female,20,None,Yes,Yes,Two year,Credit card,107.06,2132.26,Yes,Yes,No,No,No
14,d4ddceb0-0996-4428-b87c-349538d8924b,57.0,Male,56,DSL,No,Yes,Month-to-month,Mailed check,34.63,1938.73,No,No,No,No,No
