Age;Gender;Tenure;Service_Internet;Service_Phone;Service_TV;Contract;PaymentMethod;MonthlyCharges;TotalCharges;StreamingMovies;StreamingMusic;OnlineSecurity;TechSupport;Churn;TotalServices;CLV;AvgMonthlyChargeOverTenure;RecentPaymentDrop
56.0;1;13;0;1;0;1;3;71.88;931.49;0;0;1;0;0;2;934.4399999999999;66.535;1.0803336589764785
69.0;1;13;0;0;1;2;3;110.99;1448.46;1;1;0;0;0;1;1442.87;103.46142857142857;1.0727669386797012
46.0;1;60;1;0;1;0;3;116.74;6997.73;1;1;0;0;0;2;7004.4;114.71688524590164;1.0176357190117367
32.0;0;57;1;1;1;0;0;78.16;4452.13;0;1;0;1;0;4;4455.12;76.76086206896552;1.0182272305615514
60.0;1;52;1;1;1;2;2;30.33;1569.73;1;0;1;1;0;5;1577.1599999999999;29.61754716981132;1.0240550922770157
25.0;0;53;1;1;1;0;0;77.33;4107.57;1;0;1;0;0;4;4098.49;76.06611111111111;1.0166156632753671
38.0;1;43;1;1;0;2;3;79.76;3437.48;1;0;0;0;0;2;3429.6800000000003;78.12454545454545;1.0209339399792872
56.0;1;42;0;0;1;0;0;98.92;4154.29;0;1;0;0;0;1;4154.64;96.6113953488372;1.0238957800249864
36.0;0;26;0;1;1;0;2;24.82;662.63;0;0;1;1;0;4;645.32;24.541851851851852;1.0113336250999803
40.0;1;23;1;1;1;2;3;66.63;1536.62;0;1;0;0;0;3;1532.4899999999998;64.02583333333332;1.040673686402624
28.0;0;43;1;1;1;0;2;112.28;4831.6;1;0;1;1;0;5;4828.04;109.80909090909091;1.0225018627369815
28.0;0;28;1;1;0;2;1;119.13;3338.13;0;0;1;0;0;3;3335.64;115.10793103448276;1.034941718866551
41.0;1;9;0;0;1;2;3;39.14;339.64;0;0;1;0;0;2;352.26;33.964;1.1523966552820635
53.0;0;20;1;1;1;2;1;107.06;2132.26;1;1;0;0;0;3;2141.2;101.53619047619048;1.0544023711930064
57.0;1;56;0;0;1;0;3;34.63;1938.73;0;0;0;0;0;1;1939.2800000000002;34.01280701754386;1.0181458996353285
41.0;1;39;0;0;1;1;2;104.12;4060.22;0;0;1;1;0;3;4060.6800000000003;101.5055;1.025757224977957
20.0;0;51;1;1;1;2;3;47.73;2440.13;1;1;1;0;0;4;2434.23;46.925576923076925;1.017142529291472
39.0;1;12;0;1;1;1;2;115.96;1384.84;1;0;0;0;0;2;1391.52;106.52615384615385;1.0885589671008924
19.0;0;55;1;0;0;1;1;89.55;4925.96;1;0;0;1;0;2;4925.25;87.96357142857143;1.0180350632161042
41.0;1;11;0;1;1;2;1;59.91;659.9;1;0;1;0;0;3;659.01;54.99166666666667;1.0894377936050916
61.0;1;26;1;1;1;1;0;48.1;1251.88;0;0;1;0;0;4;1250.6000000000001;46.36592592592593;1.0373997507748347
47.0;1;42;1;1;1;2;0;43.52;1828.0;0;1;1;1;0;5;1827.8400000000001;42.51162790697674;1.023719912472648
55.0;1;27;1;1;1;0;3;88.08;2364.12;1;0;1;0;0;4;2378.16;84.43285714285715;1.0431957768641185
19.0;1;11;1;0;1;0;1;109.58;1182.77;0;0;0;1;1;3;1205.3799999999999;98.56416666666667;1.1117630646702232
38.0;0;38;0;1;0;0;2;95.49;3619.2;0;1;0;0;0;1;3628.62;92.8;1.0289870689655172
50.0;0;43;1;1;0;0;0;103.48;4444.33;1;1;0;0;0;2;4449.64;101.0075;1.0244783803182933
29.0;0;19;1;0;1;1;2;98.14;1852.88;0;1;0;1;0;3;1864.66;92.644;1.0593238633910453
39.0;0;64;0;0;1;0;1;117.91;7434.915000000001;0;1;0;0;0;1;7546.24;114.38330769230771;1.0308322287477394
61.0;0;6;1;1;1;2;2;95.78;585.58;1;0;0;0;1;3;574.6800000000001;83.65428571428572;1.1449503056798387
42.0;0;46;0;0;1;0;1;41.02;1894.18;1;1;1;0;0;2;1886.92;40.301702127659574;1.0178230157640775
44.0;1;42;1;1;0;0;3;99.16;4169.38;1;1;1;1;0;4;4164.72;96.96232558139535;1.0226652403954544
44.0;1;65;1;0;0;0;2;52.21;3403.5;1;1;0;0;0;1;3393.65;51.56818181818182;1.0124460114587923
59.0;0;59;0;1;0;0;3;119.58;7045.97;1;1;1;0;0;2;7055.22;117.43283333333333;1.01828421069065
45.0;0;52;1;1;1;0;0;57.67;2994.27;1;1;1;1;0;5;2998.84;56.49566037735849;1.0207863686307515
33.0;1;47;1;0;1;0;0;171.995;2322.31;0;1;0;1;0;3;8083.765;48.381458333333335;3.554977586971593
32.0;1;7;1;1;0;1;2;43.92;302.69;0;1;1;0;0;3;307.44;37.83625;1.1607915689319106
64.0;1;11;1;0;0;0;3;85.85;940.15;1;0;0;0;1;1;944.3499999999999;78.34583333333333;1.095782587884912
68.0;0;61;1;1;0;0;2;30.92;1904.74;1;1;1;0;0;3;1886.1200000000001;30.721612903225807;1.006457574262104
61.0;0;68;1;0;1;1;1;115.36;7434.915000000001;0;0;0;0;0;2;7844.48;107.75239130434784;1.070602690145079
69.0;0;25;1;0;1;0;2;49.43;1253.39;0;1;1;1;0;4;1235.75;48.207307692307694;1.0253632149610257
44.0;1;12;0;1;1;0;0;49.54;576.25;1;1;0;0;0;2;594.48;44.32692307692308;1.1176052060737527
54.0;1;26;1;0;1;0;2;24.61;633.55;1;1;1;0;0;3;639.86;23.46481481481481;1.048804356404388
68.0;0;12;1;1;1;0;2;44.6;539.29;0;1;0;0;0;3;535.2;41.48384615384615;1.0751172838361551
24.0;0;43;1;0;0;1;1;61.9;2662.64;1;1;0;1;0;2;2661.7;60.51454545454545;1.022894570801911
38.0;1;51;1;1;1;0;2;56.96;7434.915000000001;1;1;1;0;0;4;2904.96;142.97913461538462;0.3983798066285896
26.0;1;37;1;0;1;2;2;47.3;1747.8;1;1;1;0;0;3;1750.1;45.99473684210526;1.0283785330129305
56.0;1;46;1;1;0;2;2;24.07;1131.95;1;0;1;0;0;3;1107.22;24.08404255319149;0.9994169353770043
35.0;1;53;1;1;1;0;3;50.06;2655.65;1;1;0;0;0;3;2653.1800000000003;49.178703703703704;1.0179202831698455
21.0;0;13;1;1;0;2;0;97.83;1277.83;1;0;0;1;0;3;1271.79;91.27357142857143;1.0718327164020254
42.0;1;54;1;1;1;0;2;63.88;3443.08;0;0;1;0;0;4;3449.52;62.601454545454544;1.0204235742416674
31.0;1;57;1;0;1;0;0;49.08;2799.99;0;0;0;0;0;2;2797.56;48.27568965517241;1.0166607737884779
67.0;1;4;1;1;0;0;2;50.48;201.8;0;1;0;0;0;2;201.92;40.36;1.250743310208127
26.0;0;49;1;1;0;0;1;75.44;3707.75;1;0;1;1;0;4;3696.56;74.155;1.0173285685388713
43.0;0;7;0;1;1;1;1;50.23;362.48;1;1;0;1;0;3;351.60999999999996;45.31;1.1085853012580003
44.0;1;11;1;1;0;0;1;83.08;917.96;0;1;0;1;1;3;913.88;76.49666666666667;1.086060394788444
37.0;1;54;1;1;1;2;1;118.95;6424.01;0;1;0;0;0;3;6423.3;116.80018181818183;1.018405948932209
45.0;1;45;0;0;1;1;2;24.12;1068.61;1;0;1;1;0;3;1085.4;23.23065217391304;1.038283377471669
64.0;0;23;0;0;1;0;2;36.87;830.87;1;1;1;0;0;2;848.01;34.61958333333333;1.0650041522741223
24.0;0;28;1;1;1;1;0;37.91;1062.3;1;0;1;0;0;4;1061.48;36.63103448275862;1.034914807493175
44.0;0;57;1;1;0;2;2;64.71;3697.22;1;1;0;1;0;3;3688.47;63.7451724137931;1.015135696550381
25.0;1;26;1;1;0;0;2;24.14;640.96;1;0;0;1;0;3;627.64;23.73925925925926;1.0168809286070895
64.0;0;25;0;1;0;0;2;67.75;1684.85;0;0;1;0;0;2;1693.75;64.80192307692307;1.0454936641244028
52.0;1;54;0;1;0;0;3;112.89;6080.97;1;0;1;1;0;3;6096.06;110.56309090909092;1.0210459844399824
31.0;1;29;1;0;1;0;3;21.16;622.97;0;1;1;0;0;3;613.64;20.765666666666668;1.0189896784756889
34.0;1;36;1;1;0;0;2;56.49;2025.49;0;0;0;1;0;3;2033.64;54.74297297297297;1.0319132654320684
53.0;0;14;0;0;0;0;2;96.09;1329.49;1;0;1;0;0;1;1345.26;88.63266666666667;1.0841375264199054
67.0;1;35;1;1;0;1;0;35.45;1235.81;0;1;0;1;0;3;1240.75;34.32805555555555;1.0326830176159767
57.0;0;30;1;1;0;1;2;27.76;827.69;0;1;0;0;0;2;832.8000000000001;26.699677419354842;1.0397129360026096
21.0;0;17;0;1;0;0;1;83.08;1425.56;1;0;0;0;0;1;1412.36;79.19777777777777;1.0490193327534443
19.0;1;67;0;1;1;0;2;21.0;1415.66;1;1;0;0;0;2;1407.0;20.818529411764708;1.0087167822782306
23.0;1;30;0;1;0;0;0;100.18;2998.03;0;0;1;1;0;3;3005.4;96.71064516129033;1.0358735569690765
59.0;0;45;1;0;0;0;3;26.69;1215.03;0;1;0;0;0;1;1201.05;26.413695652173914;1.0104606470622124
21.0;1;51;1;1;0;0;2;72.44;3695.69;0;0;0;1;0;3;3694.44;71.07096153846155;1.0192629793083292
46.0;0;47;1;0;1;2;3;94.01;4429.08;1;1;0;0;0;2;4418.47;92.2725;1.0188300956406298
35.0;1;53;1;1;1;0;3;44.2;2355.87;1;1;1;0;0;4;2342.6000000000004;43.62722222222222;1.013128907792026
43.0;0;64;1;1;0;0;1;30.35;1939.77;1;1;1;1;0;4;1942.4;29.842615384615385;1.0170020157028927
61.0;0;38;1;1;1;0;0;37.56;1432.99;1;0;0;1;0;4;1427.2800000000002;36.74333333333333;1.0222262541957725
51.0;0;64;1;1;0;2;2;105.47;6746.01;0;1;0;1;0;3;6750.08;103.78476923076923;1.0162377464605004
27.0;0;7;0;1;1;1;2;90.58;643.36;0;0;0;1;1;3;634.06;80.42;1.12633673215618
53.0;1;22;1;1;1;0;2;39.81;876.72;0;0;0;0;0;3;875.82;38.11826086956522;1.044381330413359
31.0;1;41;1;1;1;0;2;91.61;3765.61;0;1;0;1;0;4;3756.0099999999998;89.65738095238096;1.0217786759648502
48.0;0;10;1;1;1;0;3;90.86;923.85;0;1;1;0;1;4;908.6;83.98636363636363;1.0818422904151106
65.0;0;57;1;1;1;0;1;119.77;6832.36;0;1;0;1;0;4;6826.889999999999;117.79931034482757;1.0167292121609517
32.0;1;7;0;1;1;2;3;59.16;413.19;0;1;0;0;0;2;414.12;51.64875;1.145429463442968
25.0;1;50;1;1;1;1;0;106.49;5323.73;1;1;0;1;0;4;5324.5;104.38686274509803;1.0201475281428622
31.0;1;52;1;0;1;1;0;64.64;3331.71;0;0;0;1;0;3;3361.28;62.86245283018868;1.0282767707873735
40.0;1;33;1;1;1;0;1;109.78;3615.61;1;0;1;0;0;4;3622.7400000000002;106.3414705882353;1.032334792745899
57.0;1;1;1;0;1;0;2;29.16;38.49;1;1;1;0;0;3;29.16;19.245;1.515198752922837
38.0;1;53;1;1;1;2;0;37.53;1998.79;1;0;0;0;0;3;1989.0900000000001;37.01462962962963;1.013923423671321
33.0;0;60;1;0;0;0;1;105.0;6292.65;1;0;1;0;0;2;6300.0;103.15819672131147;1.0178541631903888
62.0;1;34;1;1;1;2;2;101.93;3467.27;0;0;0;0;0;3;3465.6200000000003;99.06485714285714;1.0289218895557601
35.0;1;4;1;0;1;0;2;50.54;200.27;1;0;0;0;0;2;202.16;40.054;1.2617965746242572
44.0;0;17;1;1;0;0;1;79.68;1361.46;0;0;1;1;0;4;1354.5600000000002;75.63666666666667;1.0534573178793354
41.0;1;4;1;0;1;1;0;58.27;255.17;1;1;0;1;0;3;233.08;51.034;1.1417878277226947
43.0;1;43;1;1;0;0;2;21.03;911.37;1;0;1;0;0;3;904.2900000000001;20.712954545454547;1.0153066262878963
42.0;1;4;1;1;0;0;3;22.61;83.74;1;0;0;0;0;2;90.44;16.747999999999998;1.3500119417243852
62.0;1;1;0;1;1;0;3;25.43;24.65;0;1;1;0;0;3;25.43;12.325;2.063286004056795
58.0;1;71;0;1;1;1;3;79.41;5652.13;0;1;0;1;0;3;5638.11;78.50180555555556;1.011569089882929
46.0;0;50;1;1;1;0;2;47.92;2381.91;1;1;0;0;0;3;2396.0;46.70411764705882;1.0260337292341022
32.0;1;61;1;1;1;0;2;34.39;2091.64;1;1;0;0;0;3;2097.79;33.73612903225806;1.0193819204069534
62.0;0;35;1;1;1;1;0;114.11;4000.95;0;1;0;0;0;3;3993.85;111.13749999999999;1.0267461477899
18.0;0;8;1;0;1;0;0;32.13;269.98;1;0;0;1;0;3;257.04;29.99777777777778;1.071079339210312
42.0;1;24;0;1;0;2;1;87.4;2103.69;1;0;0;0;0;1;2097.6000000000004;84.1476;1.0386511320584308
24.0;0;36;1;0;1;0;2;109.42;3933.05;1;1;0;0;0;2;3939.12;106.29864864864865;1.0293639796087006
26.0;1;50;1;1;1;1;1;36.38;1824.37;1;1;0;0;0;3;1819.0000000000002;35.77196078431373;1.016997648503319
44.0;0;43;1;1;0;0;2;41.47;1787.35;1;0;0;0;0;2;1783.21;40.621590909090905;1.0208856687274457
18.0;0;27;1;0;1;1;3;171.995;2092.77;1;1;1;0;0;3;4643.865;74.74178571428571;2.3011893327981574
61.0;1;32;1;0;1;1;1;70.84;2265.91;0;1;0;1;0;3;2266.88;68.66393939393939;1.031691461708541
25.0;1;18;0;0;1;2;3;72.1;1298.33;0;0;1;0;0;2;1297.8;68.33315789473684;1.0551246601403341
41.0;1;28;1;1;1;0;2;75.47;2104.09;0;1;1;0;0;4;2113.16;72.5548275862069;1.0401788896862776
28.0;1;29;0;1;0;0;2;114.99;3359.51;0;1;1;1;0;3;3334.71;111.98366666666668;1.0268461769722368
68.0;1;16;1;1;1;1;3;25.38;407.65;0;1;1;1;0;5;406.08;23.97941176470588;1.0584079479946034
34.0;0;47;1;1;1;0;0;96.04;4519.37;0;0;0;0;0;3;4513.88;94.15354166666667;1.0200359784660251
